Serial Number,MM Capacitance (uF),Capacitance (uF) ,ESR (GOhms),DAR,PI
BLU001,72,72,3.425,1.77,12.03
BLU002,6.69,9.216,2.088,2.37,7.83
BLU003,6.26,8.831,2.825,2.35,8.38
BLU004,7.04,9.631,1.63,1.78,7.89
BLU005,6.42,8.778,3.976,2.14,12.6
BLU006,6.57,9.14,2.681,1.99,11.41
BLU007,6.78,8.847,2.066,1.61,8.46
BLU008,6.46,9.068,3.871,2.03,17.3
BLU009,6.37,9.221,3.311,2.27,15.48
BLU010,6.39,8.831,3.146,2.02,16.54
BLU011,6.55,8.684,2.327,1.62,8.39
BLU012,6.46,9.008,2.012,2.1,11.35
BLU013,6.44,8.906,3.578,1.92,15.02
BLU014,6.32,8.644,3.558,1.63,14.34
BLU015,6.5,8.995,4.18,1.9,22.09
BLU016,6.24,8.69,2.914,1.69,16.38
BLU017,6.33,8.927,3.602,1.91,15.55
BLU018,6.27,8.597,2.382,1.87,14.11
BLU019,6.43,8.875,3.439,1.69,13.38
BLU020,6.41,9.32,3.75,1.93,17.95
BLU021,6.42,8.963,4.44,1.76,18.62
BLU022,6.38,8.791,2.983,1.71,16.81
BLU023,6.62,8.869,2.429,1.59,10.32
BLU024,6.6,8.877,2.51,1.6,9.35
BLU025,6.64,8.75,3.405,1.73,13.93
BLU026,6.31,8.758,4.18,1.71,17.45
BLU027,6.65,8.923,3.283,1.68,12.68
BLU028,6.43,8.915,3.354,1.63,14.88
BLU029,6.31,8.713,3.174,1.7,15.01
BLU030,6.52,8.789,2.839,1.61,11.15
BLU031,6.43,8.923,3.679,1.81,18.99
BLU032,6.33,8.776,4.41,1.84,22.56
BLU033,6.38,8.815,3.177,1.68,15.14
BLU034,6.44,8.947,3.971,1.82,17.05
